타임스탬프,1. 성별,2. 몇 학년이신가요?,3. 본인의 내신성적은 어느 정도인가요?,4. EBS 강의를 수강해본 적이 있나요?,5. 어떤 단어를 사용해 설명해주시는 선생님이 좋은가요?,6. 얼마 정도의 친밀감이 느껴지는 선생님이 좋은가요?,7. 강의에서 적절한 배경음이나 효과음이 사용되는게 좋은가요?,8. 판서량이 어떤 선생님이 좋은가요?,9. 목소리 높이가 어떤 선생님이 좋은가요?,10. 억양 변화량이 어떤 선생님이 좋은가요?,11. 인터넷 강의에 자막이 포함되는 것이 좋다고 생각하나요?,12. 보조자료를 얼마나 많이 주는 선생님이 좋은가요?,
2023. 11. 20 오전 11:25:01,남자,고3,5~6등급,예,5,5,1,5,5,3,3,5,
2023. 11. 20 오전 11:29:07,남자,중2,3~4등급,예,1,4,2,3,4,4,2,3,
2023. 11. 20 오전 11:51:30,남자,고3,3~4등급,예,3,3,3,4,4,4,5,3,
2023. 11. 20 오전 11:53:11,여자,중2,1~2등급,예,2,4,4,3,3,5,2,4,
2023. 11. 20 오후 12:07:57,여자,고2,1~2등급,예,2,3,4,4,3,3,5,2,
2023. 11. 20 오후 1:03:31,남자,중3,1~2등급,예,3,2,1,2,3,1,4,2,
2023. 11. 20 오후 1:17:10,여자,고2,3~4등급,예,3,5,4,4,2,3,5,4,
2023. 11. 20 오후 6:31:52,여자,중2,3~4등급,아니오,3,3,5,3,4,4,3,4,
2023. 11. 21 오후 3:09:39,남자,중3,1~2등급,아니오,5,5,1,5,1,5,5,5,
2023. 11. 21 오후 4:45:19,여자,고2,5~6등급,예,1,5,1,4,4,5,5,5,
2023. 11. 21 오후 5:03:38,여자,고1,3~4등급,아니오,1,4,4,3,3,3,5,5,
2023. 11. 21 오후 5:09:19,여자,고2,7~8등급,예,3,2,1,3,3,2,5,5,
2023. 11. 21 오후 5:09:24,남자,고2,5~6등급,예,3,4,4,5,3,4,5,4,
2023. 11. 21 오후 5:09:45,남자,고2,5~6등급,예,3,5,4,3,3,4,5,1,
2023. 11. 21 오후 5:12:13,남자,고1,3~4등급,아니오,1,3,3,3,3,3,2,4,
2023. 11. 21 오후 5:25:54,여자,고2,5~6등급,아니오,2,5,2,5,2,2,5,3,
2023. 11. 21 오후 5:51:48,여자,고2,5~6등급,예,4,4,4,5,2,3,5,3,
2023. 11. 21 오후 5:56:36,여자,고2,5~6등급,예,1,4,3,4,4,4,3,4,
2023. 11. 21 오후 7:12:37,여자,고2,3~4등급,예,3,3,1,4,4,1,3,5,
2023. 11. 21 오후 7:45:50,남자,고2,1~2등급,예,4,4,1,3,3,2,4,3,
2023. 11. 21 오후 8:01:33,남자,고2,3~4등급,아니오,2,5,4,4,3,2,5,4,
2023. 11. 22 오전 12:34:18,여자,고2,3~4등급,예,3,2,4,4,4,5,5,2,
2023. 11. 22 오후 3:28:48,여자,고2,1~2등급,예,3,4,3,2,2,4,5,4,
